experiment,seed,accuracy,f1_score,roc_auc
A1_baseline_100real,42,0.66,0.6331736025392347,0.880463592224556
A2_synthmed_100real_500syn,42,0.59,0.5445601965601966,0.8521727392732378
A1_baseline_100real,43,0.69,0.6314423740510697,0.8721138790494203
A2_synthmed_100real_500syn,43,0.67,0.6290191107549599,0.8508520986802922
A1_baseline_100real,44,0.7,0.6915930661228331,0.8743594934328077
A2_synthmed_100real_500syn,44,0.73,0.7201440285204991,0.8789020048135029
A1_baseline_100real,45,0.66,0.593982905982906,0.8783233541964897
A2_synthmed_100real_500syn,45,0.49,0.3993138357705287,0.6801298343137973
A1_baseline_100real,46,0.68,0.6412003843151385,0.8789411530115739
A2_synthmed_100real_500syn,46,0.66,0.6038930481283422,0.8258059663751396
