Experiment,Accuracy,F1,ROC-AUC
A1_baseline_100real,0.66,0.6380399752134023,0.878121343113591
A2_synthmed_100real_500syn,0.66,0.5896103896103895,0.8461952718305591
A3_norepair_100real_500syn,0.66,0.5896103896103895,0.8461952718305591
A4_norag_100real_500syn,0.67,0.6082868114015655,0.8660151649721882
B1_baseline_200real,0.72,0.7028920786815523,0.9259867896861472
B2_synthmed_200real_500syn,0.73,0.6955516801111432,0.899505643152949
C1_upperbound_fulldata,0.82,0.8127843822843822,0.9193853592189726
A5_imageonly_diffusion,0.64,0.6225119047619048,0.8245408092396964
A8_geometric_only,0.66,0.6380399752134023,0.878121343113591
A6_synthmed_conditional,0.69,0.6664985994397759,0.8611253165174202
